"startdate","p","residuo","residuo_mean","log_like","cov_matrix","info","data","rel_like","prob"
18305,0.0487274090036904,0.030509253177958,0.000663244634303435,-336.644866129323,0.0000000119161791901581,2,2020-02-13,1.27511628667406e-27,1.02134086118865e-27
18306,0.0498191821045193,0.0347868837326732,0.0007562366028842,-330.609188142647,0.0000000735256803846526,2,2020-02-14,3.04991789929254e-30,2.44291897638851e-30
18307,0.050000043415486,0.0374143679655152,0.000813355825337286,-327.259726232717,0.0000000123641708039849,2,2020-02-15,1.07061993056003e-31,8.5754365567399e-32
18308,0.0502684194441664,0.0408983985029012,0.000889095619628287,-323.16406540148,0.0000000421004648995238,2,2020-02-16,1.78201938961779e-33,1.42735940013316e-33
18309,0.0512165686433556,0.0444437044753682,0.000966167488594961,-319.339974336545,0.000000035000551345324,2,2020-02-17,3.89162314240834e-35,3.11710686564621e-35
18310,0.0507436621459073,0.0488496128680135,0.00106194810582638,-314.991910208622,0.0000000431229543896791,2,2020-02-18,5.03257805666223e-37,4.03098733825863e-37
18311,0.0535466454995114,0.057192031566863,0.00124330503406224,-307.739176372825,0.0000000275980222123436,2,2020-02-19,3.56425063820902e-40,2.85488849477076e-40
18312,0.05,0.0633296460734002,0.00137673143637827,-303.049983224099,0.000000314933515872198,2,2020-02-20,3.27700819138509e-42,2.62481344116581e-42
18313,0.0517239345509294,0.0601642841338582,0.00130791922030127,-305.40861815755,0.000000037349801102664,2,2020-02-21,3.46592901197582e-41,2.77613497600549e-41
18314,0.0544224314471205,0.0599009961395715,0.00130219556825155,-305.610362860478,0.0000000220410610690303,2,2020-02-22,4.24068754423871e-41,3.39669998236942e-41
18315,0.0543952436883262,0.0616017002484061,0.00133916739670448,-304.322531378365,0.000000138660888130932,2,2020-02-23,1.16987151980236e-41,9.37042054910583e-42
18316,0.0528257809640026,0.069793582165454,0.00151725178620552,-298.579312335258,0.0000000792111616788499,2,2020-02-24,3.74877892336321e-44,3.00269170271553e-44
