"date","Cases.Mean","Cases.sd","Cases.q2.5","Cases.q50","Cases.q97.5","Deaths.Mean","Deaths.sd","Deaths.q2.5","Deaths.q50","Deaths.q97.5"
2020-04-02,11437.4466777694,528.93768459196,10391.3239044363,11556.2842865877,12153.477487559,1098.59858706176,44.1690423645891,1015.16431684071,1106.64245822179,1163.29358002299
2020-04-03,12121.0979151718,554.204972555998,11028.6981723344,12244.5049764189,12878.1351629059,1194.59617591249,47.0469889839954,1106.6154302087,1202.86837855639,1264.66746927565
2020-04-04,12814.0911136991,579.34451286991,11674.9486876042,12940.5452044049,13612.4442443274,1293.70078868161,49.8762520497247,1201.48651092935,1301.81015360657,1369.28429555843
2020-04-05,13516.1362884023,604.387851108993,12328.3722630923,13644.4486457131,14356.1040745808,1395.8881067545,52.6709109337599,1299.50923053788,1403.69389732392,1477.12960970312
2020-04-06,14226.9035475178,629.358657840448,12990.709161412,14356.8134027545,15108.7688133407,1501.13402450375,55.4452444488479,1400.58982636691,1508.51100365375,1588.18633178494
2020-04-07,14946.035374908,654.2736397977,13661.5527140347,15077.302083765,15870.0605147353,1609.41265981907,58.2119274624944,1504.90387593138,1616.23788481893,1702.23832930083
2020-04-08,15673.1556818177,679.143386338657,14340.4903405367,15805.5560866145,16639.5788996202,1720.69444562092,60.9816954035422,1612.40924203564,1727.0814766632,1819.28801640528
2020-04-09,16407.8764707724,703.973126037375,15028.9055331056,16541.2025127662,17416.4102589102,1834.94478321997,63.7634659361032,1723.53355501478,1840.80805790337,1939.41980596784
2020-04-10,17149.8026988988,728.763404332529,15726.1569057037,17285.2740950501,18198.9267247196,1952.1232545937,66.5646486815931,1837.852219634,1957.38383654001,2062.58849408675
2020-04-11,17898.5357891444,753.510691575268,16430.4785275101,18036.1836387588,18988.2726442306,2072.18330711915,69.3914945092721,1955.28037489437,2076.8545401241,2188.74180637975
2020-04-12,18653.6761331741,778.207927575269,17141.4691879831,18793.4133162374,19784.0171274389,2195.07230408858,72.2493943179979,2075.76227541465,2199.08113985019,2317.85283413113
2020-04-13,19414.824847088,802.845007617263,17858.7355972869,19556.5701316156,20585.7284216084,2320.73183318847,75.1430910682937,2197.68659987848,2324.0073768965,2449.82636216775
2020-04-14,20181.5849782901,827.409215315487,18581.892731205,20325.2617021666,21392.9754230972,2449.09817712381,78.0768051621913,2319.680321206,2451.57171872982,2584.59134081238
2020-04-15,20953.5623133641,851.88560753502,19310.5638610424,21099.5625781548,22205.3287534245,2580.10287023048,81.0542908117728,2443.89115592691,2581.7545645141,2722.07192025501
2020-04-16,21730.3659001442,876.25735632815,20044.3803729341,21878.8369934813,23022.4146795732,2713.6732848396,84.0788468463343,2571.9256219677,2714.51190862167,2862.18810319321
2020-04-17,22511.6083690949,900.50605323935,20782.9814537411,22662.5125302459,23843.9029375995,2849.73320942586,87.1533030486719,2705.44781289867,2849.60065488499,3004.85634789943
2020-04-18,23296.9061184865,924.611981428958,21526.0137013568,23450.2056209389,24669.2352821642,2988.20339494349,90.2799982999391,2841.53798045297,2986.81619367679,3149.99011576761
2020-04-19,24085.8794091806,948.55435809597,22273.130696832,24241.5358214641,25497.9947094551,3129.00205687512,93.4607610484647,2980.11185502229,3126.28821903535,3297.50036308803
2020-04-20,24878.1524032915,972.311548530836,23023.9925694628,25036.1259417712,26329.7680679994,3272.04532659813,96.6968969418535,3119.20146095087,3267.93534363467,3447.29597784667
2020-04-21,25673.3531833546,995.861277312298,23778.2655730818,25833.602130656,27164.1461179729,3417.24766077596,99.9892074313711,3259.2210055243,3411.6744853159,3599.2841496066
2020-04-22,26471.1137477038,1019.18079373099,24535.6216878094,26634.1226483513,28000.7240497767,3564.52228754103,103.338191840128,3398.82696227822,3557.42120006126,3753.37164248431
2020-04-23,27271.0700113848,1042.24703305804,25295.7382556241,27436.9550213948,28839.1010520855,3713.78189490277,106.744733038073,3539.27285255838,3705.08997262264,3909.46882317011
2020-04-24,28072.8618337789,1065.03677897291,26058.2976552167,28241.5990618095,29678.8808069501,3864.93938119578,110.210810115979,3681.46707285007,3854.59447032673,4067.49131998906
2020-04-25,28876.1331119773,1087.52681105222,26822.9870183758,29047.4229825616,30519.6715626715,4017.90850083026,113.739695183545,3825.33055300085,4006.08392709671,4227.35873464356
2020-04-26,29680.5315531343,1109.69395560296,27589.4667842184,29852.6953038754,31361.0862929735,4172.60391937018,117.335739366907,3970.78377807138,4160.21394567153,4388.99320992436
2020-04-27,30485.7092046565,1131.51530851975,28357.240317371,30658.6403561372,32202.7428745932,4328.94220734471,121.003925387903,4117.74694972675,4314.61938103406,4552.31810682954
2020-04-28,31291.3222113132,1152.96833569535,29125.924546723,31464.9108804465,33044.2642804605,4486.84151982859,124.749167360828,4266.14011945277,4470.5120125859,4717.25683706536
2020-04-29,32097.0310696215,1174.03091945823,29893.0502727761,32271.1638522315,33885.2787850406,4646.22167119662,128.575547688697,4415.8833115574,4627.81282126128,4883.73190820589
2020-04-30,32902.5007546539,1194.68142430857,30660.6964205646,33077.0606569467,34725.4201837584,4807.00391975915,132.485690617643,4566.89658898558,4786.56244963279,5051.66417785196
2020-05-01,33707.4008590862,1214.89885216489,31428.5770738788,33882.2672852241,35564.3280226489,4969.11034398287,136.480650196997,4719.1004122074,4946.9185369203,5221.24180317338
2020-05-02,34511.4057741955,1234.6628908333,32196.4103329561,34686.4545410505,36401.6478378683,5132.4633237455,140.559873077933,4872.41654703617,5108.47926409156,5392.50666962625
2020-05-03,35314.1948768047,1253.95398955317,32963.9183181408,35489.2982592704,37237.031402272,5296.98504736818,144.721303801836,5026.76885037303,5271.16923106302,5565.01281737765
2020-05-04,36115.4527318753,1272.75341548561,33730.8272050866,36290.4795309892,38070.1369775463,5462.59711454631,148.961556634004,5182.08281799584,5436.55170188378,5738.6710948782
2020-05-05,36914.8692957957,1291.04331411794,34496.8672801224,37089.6849340933,38900.6295689375,5629.22023595161,153.276149160861,5338.28509737845,5604.85816372482,5913.38969139059
2020-05-06,37712.1401268589,1308.80676240435,35261.773012839,37886.6067668806,39728.1811810976,5796.77404157251,157.659740587571,5495.30306616481,5776.63648089649,6089.07435694232
2020-05-07,38506.9665991846,1326.02781660369,36025.2831433731,38680.9432829584,40552.4710722819,5965.17698943202,162.106356145447,5653.06448966584,5949.76688131254,6265.62869525761
2020-05-08,39299.0561178149,1342.69155512631,36787.1407819799,39472.3989252561,41373.1860048903,6134.34636129313,166.609591655067,5811.49725550151,6125.52670662139,6442.95450349702
2020-05-09,40088.1223329298,1358.78411653142,37547.0935182253,40260.6845571622,42190.0204900734,6304.19832988425,171.162794048047,5970.52917760186,6299.99429866673,6620.95213482665
2020-05-10,40873.8853513585,1374.2927326246,38304.8935382102,41045.9259880013,43002.6770246036,6474.64808409331,175.75921775332,6130.08787421548,6469.18128950763,6799.52088345489
2020-05-11,41656.0719435002,1389.20575677614,39060.2977477373,41828.6974171193,43810.8663178873,6645.60999800984,180.392155693327,6290.10070761137,6638.69284160991,6978.5593656362
2020-05-12,42434.4157440236,1403.51268749437,39813.0678997301,42606.649216438,44614.3075075747,6816.99783238128,185.055046358377,6450.49477874734,6808.59153603926,7157.96589289412
2020-05-13,43208.6574448026,1417.20418731451,40562.970724139,43379.0002957162,45412.7283620741,6988.72495755954,189.741559170498,6611.19697043213,6981.24995936953,7337.63883154841
